,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,crew
645,Beast,Nelson Dilipkumar,Vijay,Pooja Hegde,Selvaraghavan,"Action, Adventure, Thriller","Nelson Dilipkumar Vijay Pooja Hegde Selvaraghavan Action, Adventure, Thriller"
646,Sinam,G. N. R. Kumaravelan,Arun Vijay,Palak Lalwani,Kaali Venkat,"Action, Thriller, Crime","G. N. R. Kumaravelan Arun Vijay Palak Lalwani Kaali Venkat Action, Thriller, Crime"
647,Rocketry: The Nambi Effect,R. Madhavan,R. Madhavan,Suriya,Simran,"Drama, History","R. Madhavan R. Madhavan Suriya Simran Drama, History"
648,Oh My Ghost,R. Yuvan,Sunny Leone,Sathish,Yogi Babu,"Comedy, Horror, Fantasy","R. Yuvan Sunny Leone Sathish Yogi Babu Comedy, Horror, Fantasy"
649,Pistha,M. Ramesh Bharathi,Metro Shirish,Mrudula Murali,Arundhathi Nair,"Comedy, Romance","M. Ramesh Bharathi Metro Shirish Mrudula Murali Arundhathi Nair Comedy, Romance"
650,Valimai,H. Vinoth,Ajith Kumar,Huma Qureshi,Kartikeya Gummakonda,"Action, Crime, Thriller","H. Vinoth Ajith Kumar Huma Qureshi Kartikeya Gummakonda Action, Crime, Thriller"
651,Hey! Sinamika,Brinda,Dulquer Salmaan,Aditi Rao Hydari,Kajal Agarwal,"Drama, Romance","Brinda Dulquer Salmaan Aditi Rao Hydari Kajal Agarwal Drama, Romance"
652,DSP,Ponram,Vijay Sethupathi,Anukreethy Vas,Prabhakar,"Action, Drama","Ponram Vijay Sethupathi Anukreethy Vas Prabhakar Action, Drama"
653,Coffee,Sai Krishna,Iniya,Rahul Dev,Ramachandran Durairaj,"Action, Crime","Sai Krishna Iniya Rahul Dev Ramachandran Durairaj Action, Crime"
654,Gargi,Gautham Ramachandran,Sai Pallavi,Aishwarya Lekshmi,Kaali Venkat,"Drama, Thriller","Gautham Ramachandran Sai Pallavi Aishwarya Lekshmi Kaali Venkat Drama, Thriller"
655,Viyuham,Santosh Menon,Ajmal Ameer,Lal,Anuya Bhagvath,"Adventure, Drama, Crime","Santosh Menon Ajmal Ameer Lal Anuya Bhagvath Adventure, Drama, Crime"
656,Super Senior Heroes,Karthik Kumar,K. Bhagyaraj,Ambika,Pandiarajan,"Comedy, Fantasy, Family","Karthik Kumar K. Bhagyaraj Ambika Pandiarajan Comedy, Fantasy, Family"
657,Naai Sekar Returns,Suraj,Vadivelu,Rao Ramesh,Anandaraj,Comedy,Suraj Vadivelu Rao Ramesh Anandaraj Comedy
658,Naane Varuvean,Selvaraghavan,Dhanush,Indhuja Ravichandran,Elli Avram,"Action, Thriller, Horror","Selvaraghavan Dhanush Indhuja Ravichandran Elli Avram Action, Thriller, Horror"
659,Sanjeevan,Mani Shekar,Vinod Loghydaas,Dhivya Dhuraisamy,Sathya N J,"Thriller, Drama","Mani Shekar Vinod Loghydaas Dhivya Dhuraisamy Sathya N J Thriller, Drama"
660,Thiruchitrambalam,Mithran Jawahar,Dhanush,Nithya Menen,Bharathiraja,"Romance, Drama, Comedy","Mithran Jawahar Dhanush Nithya Menen Bharathiraja Romance, Drama, Comedy"
661,Maaran,Karthick Naren,Dhanush,Malavika Mohanan,Samuthirakani,"Thriller, Action","Karthick Naren Dhanush Malavika Mohanan Samuthirakani Thriller, Action"
662,Don,Cibi Chakaravarthi,Sivakarthikeyan,Priyanka Arul Mohan,S. J. Suryah,"Comedy, Romance","Cibi Chakaravarthi Sivakarthikeyan Priyanka Arul Mohan S. J. Suryah Comedy, Romance"
663,181,Mohamad Issack,Gemini Ryker,Rheena Krishnan,Kaviya Amaira,Horror,Mohamad Issack Gemini Ryker Rheena Krishnan Kaviya Amaira Horror
664,Mahaan,Karthik Subbaraj,Vikram,Dhruv Vikram,Bobby Simha,"Crime, Action, Drama","Karthik Subbaraj Vikram Dhruv Vikram Bobby Simha Crime, Action, Drama"
665,Ree,Sundhara Vadivel,Prasanth Srinivasan,Gayatri Rema,Prasath,Thriller,Sundhara Vadivel Prasanth Srinivasan Gayatri Rema Prasath Thriller
666,Sivi 2,K. R. Senthil Nathan,Tej Charanraj,Yogi,Bhalajie,"Horror, Thriller","K. R. Senthil Nathan Tej Charanraj Yogi Bhalajie Horror, Thriller"
667,Udanpaal,Karthik Seenivasan,Linga,Gayathrie Shankar,Vivek Prasanna,"Drama, Comedy","Karthik Seenivasan Linga Gayathrie Shankar Vivek Prasanna Drama, Comedy"
668,Kaarottiyin Kaadhali,R. Siva,Elango Kumaravel,Janaki Devi,Pitchaikaran Moorthy,Drama,R. Siva Elango Kumaravel Janaki Devi Pitchaikaran Moorthy Drama
669,Aattral,K. L. Kannan,Vidharth,Shrita Rao,Vamsi Krishna,"Thriller, Action","K. L. Kannan Vidharth Shrita Rao Vamsi Krishna Thriller, Action"
670,Rajavum 5 Koojavum,Prabhu Aadhithyan,Arvee,Athmeeya Rajan,Nandha,Comedy,Prabhu Aadhithyan Arvee Athmeeya Rajan Nandha Comedy
671,Enjoy,Perumal Kasi,Madhan Kumar Dhakshinamoorthy,Vignesh,Harish Kumar,Romance,Perumal Kasi Madhan Kumar Dhakshinamoorthy Vignesh Harish Kumar Romance
672,Kaalangalil Aval Vasantham,Raghav Mirdath,Kaushik Ram,Anjali Nair,Heroshini Komali,"Romance, Comedy","Raghav Mirdath Kaushik Ram Anjali Nair Heroshini Komali Romance, Comedy"
673,Kaatteri,Deekay,Vaibhav Reddy,Varalaxmi Sarathkumar,Sonam Bajwa,"Comedy, Horror","Deekay Vaibhav Reddy Varalaxmi Sarathkumar Sonam Bajwa Comedy, Horror"
674,Cadaver,Anoop S Panicker,Amala Paul,Riythvika,Thrigun,"Crime, Mystery, Thriller","Anoop S Panicker Amala Paul Riythvika Thrigun Crime, Mystery, Thriller"
675,Cobra,R. Ajay Gnanamuthu,Vikram,Srinidhi Shetty,Irfan Pathan,"Action, Thriller","R. Ajay Gnanamuthu Vikram Srinidhi Shetty Irfan Pathan Action, Thriller"
676,Gatta Kusthi,Chella Ayyavu,Aishwarya Lekshmi,Vishnu Vishal,Karunas,"Comedy, Drama, Family","Chella Ayyavu Aishwarya Lekshmi Vishnu Vishal Karunas Comedy, Drama, Family"
677,Repeat Shoe,Kalyaan,Priya Kalyaan,Yogi Babu,Redin Kingsley,"Crime, Science Fiction, Thriller","Kalyaan Priya Kalyaan Yogi Babu Redin Kingsley Crime, Science Fiction, Thriller"
678,Viruman,M. Muthaiah,Karthi,Aditi Shankar,Rajkiran,"Action, Family","M. Muthaiah Karthi Aditi Shankar Rajkiran Action, Family"
679,Sardar,P. S. Mithran,Karthi,Raashii Khanna,Rajisha Vijayan,"Thriller, Action","P. S. Mithran Karthi Raashii Khanna Rajisha Vijayan Thriller, Action"
680,Raangi,M. Saravanan,Trisha Krishnan,Anaswara Rajan,Gopi Kannadasan,"Action, Thriller","M. Saravanan Trisha Krishnan Anaswara Rajan Gopi Kannadasan Action, Thriller"
681,Nitham Oru Vaanam,Ra. Karthik,Ashok Selvan,Ritu Varma,Aparna Balamurali,"Romance, Thriller, Comedy","Ra. Karthik Ashok Selvan Ritu Varma Aparna Balamurali Romance, Thriller, Comedy"
682,Etharkkum Thunindhavan,Pandiraj,Suriya,Priyanka Arul Mohan,Vinay Rai,"Action, Drama, Family","Pandiraj Suriya Priyanka Arul Mohan Vinay Rai Action, Drama, Family"
683,Kadaisi Vivasayi,M. Manikandan,Nallandi,Vijay Sethupathi,Yogi Babu,Drama,M. Manikandan Nallandi Vijay Sethupathi Yogi Babu Drama
684,Gurumoorthi,Tanasekar Palanivelu,Natarajan Subramaniam,Poonam Bajwa,Ramki,"Action, Thriller","Tanasekar Palanivelu Natarajan Subramaniam Poonam Bajwa Ramki Action, Thriller"
685,Varalaru Mukkiyam,Santhosh Rajan,Jiiva,Kashmira Pardesi,Pragya Nagara,"Romance, Comedy","Santhosh Rajan Jiiva Kashmira Pardesi Pragya Nagara Romance, Comedy"
686,Kalaga Thalaivan,Magizh Thirumeni,Udhayanidhi Stalin,Aarav Kizar,Kalaiyarasan,"Thriller, Action","Magizh Thirumeni Udhayanidhi Stalin Aarav Kizar Kalaiyarasan Thriller, Action"
687,Iravin Nizhal,R. Parthiban,R. Parthiban,Anandha krishnan,Brigida Saga,"Drama, Thriller","R. Parthiban R. Parthiban Anandha krishnan Brigida Saga Drama, Thriller"
688,Veetla Vishesham,NJ Saravanan,Urvashi,Sathyaraj,RJ Balaji,"Drama, Comedy","NJ Saravanan Urvashi Sathyaraj RJ Balaji Drama, Comedy"
689,Miral,M. Sakthivel,Bharath Srinivasan,Vani Bhojan,K. S. Ravikumar,"Thriller, Horror","M. Sakthivel Bharath Srinivasan Vani Bhojan K. S. Ravikumar Thriller, Horror"
690,Oh My Dog,Sarov Shanmugam,Arun Vijay,Arnav Vijay,Vijayakumar,"Drama, Family","Sarov Shanmugam Arun Vijay Arnav Vijay Vijayakumar Drama, Family"
691,Kanam,Shree Karthick,Sharwanand,Amala Akkineni,Priyadarshi Pullikonda,"Drama, Fantasy, Science Fiction","Shree Karthick Sharwanand Amala Akkineni Priyadarshi Pullikonda Drama, Fantasy, Science Fiction"
692,Koogle Kuttappa,Guru Saravanan,K. S. Ravikumar,Tharshan Thiyagarajah,Losliya Mariyanesan,"Comedy, Drama, Science Fiction","Guru Saravanan K. S. Ravikumar Tharshan Thiyagarajah Losliya Mariyanesan Comedy, Drama, Science Fiction"
693,Vendhu Thanindhathu Kaadu,Gautham Vasudev Menon,Silambarasan,Siddhi Idnani,Neeraj Madhav,"Drama, Thriller, Crime","Gautham Vasudev Menon Silambarasan Siddhi Idnani Neeraj Madhav Drama, Thriller, Crime"
694,Lilly Rani,Vishnu Ramakrishnan,Chaya Singh,Thambi Ramaiah,Jayaprakash,"Drama, Family","Vishnu Ramakrishnan Chaya Singh Thambi Ramaiah Jayaprakash Drama, Family"
695,FIR,Manu Anand,Vishnu Vishal,Reba Monica John,Gaurav Narayanan,"Thriller, Action","Manu Anand Vishnu Vishal Reba Monica John Gaurav Narayanan Thriller, Action"
696,Diary,Innasi Pandiyan,Arulnithi,Pavithrah Marimuthu,Jayaprakash,"Crime, Thriller","Innasi Pandiyan Arulnithi Pavithrah Marimuthu Jayaprakash Crime, Thriller"
697,Maayon,Kishore,Sibiraj,Tanya Ravichandran,Radha Ravi,"Mystery, Thriller","Kishore Sibiraj Tanya Ravichandran Radha Ravi Mystery, Thriller"
698,Trigger,Sam Anton,Atharvaa Murali,Tanya Ravichandran,C. Arun Pandian,"Action, Drama","Sam Anton Atharvaa Murali Tanya Ravichandran C. Arun Pandian Action, Drama"
699,Hostel,Sumanth Radhakrishnan,Ashok Selvan,Priya Bhavani Shankar,Sathish,"Comedy, Drama","Sumanth Radhakrishnan Ashok Selvan Priya Bhavani Shankar Sathish Comedy, Drama"
700,Nenjuku Needhi,Arunraja Kamaraj,Udhayanidhi Stalin,Tanya Ravichandran,Aari Arjuna,"Crime, Drama, Mystery","Arunraja Kamaraj Udhayanidhi Stalin Tanya Ravichandran Aari Arjuna Crime, Drama, Mystery"
701,Dhadha,Guinness Kishore,Nithin Sathya,Yogi Babu,Gayatri Rema,"Comedy, Drama","Guinness Kishore Nithin Sathya Yogi Babu Gayatri Rema Comedy, Drama"
702,Saani Kaayidham,Arun Matheswaran,Keerthy Suresh,Selvaraghavan,Kanna Ravi,"Crime, Drama, Action","Arun Matheswaran Keerthy Suresh Selvaraghavan Kanna Ravi Crime, Drama, Action"
703,Vattam,Kamalakannan,Sibiraj,Andrea Jeremiah,Athulya Ravi,"Action, Thriller","Kamalakannan Sibiraj Andrea Jeremiah Athulya Ravi Action, Thriller"
704,Yaanai,Hari,Arun Vijay,Priya Bhavani Shankar,Samuthirakani,"Action, Thriller","Hari Arun Vijay Priya Bhavani Shankar Samuthirakani Action, Thriller"
705,Maha,U.R. Jameel,Hansika Motwani,Manasvi Kottachi,Silambarasan,"Crime, Mystery, Thriller","U.R. Jameel Hansika Motwani Manasvi Kottachi Silambarasan Crime, Mystery, Thriller"
706,Ranga,Vinod DL,Sibiraj,Nikhila Vimal,Sathish,"Thriller, Action","Vinod DL Sibiraj Nikhila Vimal Sathish Thriller, Action"
707,Agent Kannayiram,Manoj Beedha,Santhanam,Riya Suman,Pugazh,"Crime, Thriller, Comedy","Manoj Beedha Santhanam Riya Suman Pugazh Crime, Thriller, Comedy"
708,D Block,Vijay Kumar,Arulnithi,Avantika Mishra,Vijay Kumar,"Thriller, Mystery","Vijay Kumar Arulnithi Avantika Mishra Vijay Kumar Thriller, Mystery"
709,1945,Sathyasiva,Rana Daggubati,Regina Cassandra,Sathyaraj,"Drama, History, Action","Sathyasiva Rana Daggubati Regina Cassandra Sathyaraj Drama, History, Action"
710,Anel Meley Pani Thuli,R Kaiser Anand,Andrea Jeremiah,Aadhav Kannadasan,N. Azhagamperumal,"Drama, Thriller","R Kaiser Anand Andrea Jeremiah Aadhav Kannadasan N. Azhagamperumal Drama, Thriller"
711,Visithiran,Padmakumar M,R. K. Suresh,Poorna,Madhu Shalini,"Crime, Thriller","Padmakumar M R. K. Suresh Poorna Madhu Shalini Crime, Thriller"
712,Parole,Dwarakh Raja,Linga,R. S. Karthik,Monisha Murali,"Action, Drama","Dwarakh Raja Linga R. S. Karthik Monisha Murali Action, Drama"
713,Payanigal Gavanikkavum,Sakthivel Perumalsamy,Vidharth,Lakshmi Priyaa,Karunakaran,"Drama, Comedy","Sakthivel Perumalsamy Vidharth Lakshmi Priyaa Karunakaran Drama, Comedy"
714,Battery,Mani Bharathy,Senguttuvan,Ammu Abhirami,Rajkumar,"Crime, Thriller","Mani Bharathy Senguttuvan Ammu Abhirami Rajkumar Crime, Thriller"
715,Yutha Satham,Ezhil,Gautham Karthik,R. Parthiban,Sai Priya Deva,"Crime, Thriller","Ezhil Gautham Karthik R. Parthiban Sai Priya Deva Crime, Thriller"
716,Captain,Shakti Soundar Rajan,Arya,Aishwarya Lekshmi,Simran,"Action, Fantasy, Science Fiction, Drama","Shakti Soundar Rajan Arya Aishwarya Lekshmi Simran Action, Fantasy, Science Fiction, Drama"
717,Kadamaiyai Sei,Venkat Raghavan,S. J. Suryah,Yashika Anand,Rajendran,"Comedy, Action","Venkat Raghavan S. J. Suryah Yashika Anand Rajendran Comedy, Action"
718,Panni Kutty,Anucharan,Karunakaran,Lakshmi Priya,Yogi Babu,"Drama, Comedy","Anucharan Karunakaran Lakshmi Priya Yogi Babu Drama, Comedy"
719,Laththi Charge,A. Vinoth Kumar,Vishal Krishna,Sunaina,Prabhu,"Action, Drama","A. Vinoth Kumar Vishal Krishna Sunaina Prabhu Action, Drama"
720,Coffee With Kadhal,Sundar C,Jiiva,Srikanth,Jai Sampath,"Drama, Comedy","Sundar C Jiiva Srikanth Jai Sampath Drama, Comedy"
721,Yuddha Kaandam,Anantharajan,Sreeram Karthik,Krisha Kurup,Yog Jappie,Action,Anantharajan Sreeram Karthik Krisha Kurup Yog Jappie Action
722,RajaBheema,Naresh Sampath,Aarav Kizar,Ashima Narwal,Yogi Babu,Drama,Naresh Sampath Aarav Kizar Ashima Narwal Yogi Babu Drama
723,Selfie,Mathi Maran,G. V. Prakash Kumar,Varsha Bollamma,Gautham Vasudev Menon,"Action, Thriller","Mathi Maran G. V. Prakash Kumar Varsha Bollamma Gautham Vasudev Menon Action, Thriller"
724,Natchathiram Nagargiradhu,Pa. Ranjith,Kalaiyarasan,Kalidas Jayaram,Dushara Vijayan,"Romance, Drama, Comedy","Pa. Ranjith Kalaiyarasan Kalidas Jayaram Dushara Vijayan Romance, Drama, Comedy"
725,Pattampoochi,Badri,Sundar C,Jai Sampath,Honey Rose,Thriller,Badri Sundar C Jai Sampath Honey Rose Thriller
726,Kuzhali,Chera. Kalaiyarasan,Aara,J Vignesh,Senthikumari,Drama,Chera. Kalaiyarasan Aara J Vignesh Senthikumari Drama
727,Grandma,Shijinlal SS,Sonia Agarwal,Vimala Raman,Charmila,"Drama, Horror, Thriller","Shijinlal SS Sonia Agarwal Vimala Raman Charmila Drama, Horror, Thriller"
728,Kuruthi Aattam,Sri Ganesh,Atharvaa Murali,Priya Bhavani Shankar,Radhika Sarathkumar,"Action, Drama","Sri Ganesh Atharvaa Murali Priya Bhavani Shankar Radhika Sarathkumar Action, Drama"
729,The Legend,Joseph D. Sami,Arul Saravanan,Urvashi Rautela,Geethika Tiwary,"Comedy, Romance, Action","Joseph D. Sami Arul Saravanan Urvashi Rautela Geethika Tiwary Comedy, Romance, Action"
730,Therkathi Veeran,Shaarath,Shaarath,Anagha Sajeev,Ashok Kumar Balakrishnan,"Action, Drama","Shaarath Shaarath Anagha Sajeev Ashok Kumar Balakrishnan Action, Drama"
731,Sethaan Da Sekar'uh,Vignesh,Hari Narayanan Suresh,Yuvaraj Mohan,Vignesh,"Action, Crime, Comedy","Vignesh Hari Narayanan Suresh Yuvaraj Mohan Vignesh Action, Crime, Comedy"
732,Mudhal Nee Mudivum Nee,Darbuka Siva,Kishen Das,Purva Raghunath,Meetha Raghunath,Drama,Darbuka Siva Kishen Das Purva Raghunath Meetha Raghunath Drama
733,Clap,Prithvi Adithya,Aadhi Pinisetty,Aakanksha Singh,Krisha Kurup,Drama,Prithvi Adithya Aadhi Pinisetty Aakanksha Singh Krisha Kurup Drama
734,Yugi,Zac Harriss,Kathir,Natarajan Subramaniam,Narain,"Drama, Thriller","Zac Harriss Kathir Natarajan Subramaniam Narain Drama, Thriller"
735,Taanakkaran,Tamizh,Vikram Prabhu,Anjali Nair,Lal,Drama,Tamizh Vikram Prabhu Anjali Nair Lal Drama
736,Aruva Sanda,Aadhirajan,V. Raja,Malavika Menon,Soundara Raja,"Action, Drama, Family","Aadhirajan V. Raja Malavika Menon Soundara Raja Action, Drama, Family"
737,Anbulla Ghilli,Srinath Ramalingam,Maithreya Rajasekar,Soori,Dushara Vijayan,"Adventure, Family","Srinath Ramalingam Maithreya Rajasekar Soori Dushara Vijayan Adventure, Family"
738,Theal,Harikumar,Prabhu Deva,Samyuktha Hegde,Easwari Rao,"Action, Thriller","Harikumar Prabhu Deva Samyuktha Hegde Easwari Rao Action, Thriller"
739,Anbarivu,Aswin Raam,HipHop Tamizha Adhi,Napoleon,Kashmira Pardesi,"Comedy, Family, Romance","Aswin Raam HipHop Tamizha Adhi Napoleon Kashmira Pardesi Comedy, Family, Romance"
740,Aadhaar,Ramnath Palanikumar,Karunas,Iniya,C. Arun Pandian,Drama,Ramnath Palanikumar Karunas Iniya C. Arun Pandian Drama
741,Dejavu,Arvindh Srinivasan,Arulnithi,Madhoo,Smruthi Venkat,"Mystery, Thriller","Arvindh Srinivasan Arulnithi Madhoo Smruthi Venkat Mystery, Thriller"
742,Drama,Aju Kizhumala,Kishore,Charle,Jai Bala,"Thriller, Drama","Aju Kizhumala Kishore Charle Jai Bala Thriller, Drama"
743,Sila Nerangalil Sila Manidhargal,Vishal Venkat,Ashok Selvan,Reyaa Hari,Nassar,Drama,Vishal Venkat Ashok Selvan Reyaa Hari Nassar Drama
744,Pattathu Arasan,A. Sarkunam,Atharvaa Murali,Rajkiran,Ashika Ranganath,"Family, Action, Romance","A. Sarkunam Atharvaa Murali Rajkiran Ashika Ranganath Family, Action, Romance"
745,Veerame Vaagai Soodum,Thu. Pa. Saravanan,Vishal Krishna,Baburaj,Dimple Hayathi,"Action, Thriller","Thu. Pa. Saravanan Vishal Krishna Baburaj Dimple Hayathi Action, Thriller"
746,O2,GS Viknesh,Nayanthara,Rithvik,Lenaa,Thriller,GS Viknesh Nayanthara Rithvik Lenaa Thriller
747,Marutha,GRS,Ganja Karuppu,Lovelyn Chandrasekhar,Radhika Sarathkumar,"Family, Romance","GRS Ganja Karuppu Lovelyn Chandrasekhar Radhika Sarathkumar Family, Romance"
748,Vezham,Sandeep Shyam,Ashok Selvan,Janani Iyer,Iswarya Menon,"Mystery, Thriller","Sandeep Shyam Ashok Selvan Janani Iyer Iswarya Menon Mystery, Thriller"
749,Gulu Gulu,Rathna Kumar,Santhanam,Athulya Chandra,Namita Krishnamurthy,"Comedy, Adventure, Romance","Rathna Kumar Santhanam Athulya Chandra Namita Krishnamurthy Comedy, Adventure, Romance"
750,Buffoon,Ashok Veerappan,Vaibhav Reddy,Anagha,Joju George,"Drama, Comedy","Ashok Veerappan Vaibhav Reddy Anagha Joju George Drama, Comedy"
751,Kaari,M Hemanth,M. Sasikumar,Parvathy Arun,Adukalam Naren,"Action, Family","M Hemanth M. Sasikumar Parvathy Arun Adukalam Naren Action, Family"
752,Prince,Anudeep,Sivakarthikeyan,Maria Ryaboshapka,Sathyaraj,"Comedy, Romance","Anudeep Sivakarthikeyan Maria Ryaboshapka Sathyaraj Comedy, Romance"
753,Poikkal Kuthirai,Santhosh P. Jayakumar,Prabhu Deva,Raiza Wilson,Varalaxmi Sarathkumar,"Crime, Thriller","Santhosh P. Jayakumar Prabhu Deva Raiza Wilson Varalaxmi Sarathkumar Crime, Thriller"
754,Not Reachable,Chandru Muruganantham,Vishwa Sridharan,Sai Dhanyaa,Vijayan,"Crime, Thriller","Chandru Muruganantham Vishwa Sridharan Sai Dhanyaa Vijayan Crime, Thriller"
755,My Dear Lisa,Ranjan Krishnadevan,Vijay Vasanth,Chandhini Tamilarasan,Leesha Eclairs,"Horror, Thriller","Ranjan Krishnadevan Vijay Vasanth Chandhini Tamilarasan Leesha Eclairs Horror, Thriller"
756,EVIL,Jagan Aloysius,Vijay Akash,Nithya Raj,Jeeva,,Jagan Aloysius Vijay Akash Nithya Raj Jeeva 
757,Sembi,Prabhu Solomon,Kovai Sarala,Ashwin Kumar,Thambi Ramaiah,"Drama, Thriller","Prabhu Solomon Kovai Sarala Ashwin Kumar Thambi Ramaiah Drama, Thriller"
758,Ayngaran,Ravi Arasu,G. V. Prakash Kumar,Mahima Nambiar,Kaali Venkat,"Action, Drama","Ravi Arasu G. V. Prakash Kumar Mahima Nambiar Kaali Venkat Action, Drama"
759,Connect,Ashwin Saravanan,Nayanthara,Haniya Nafisa,Sathyaraj,"Horror, Thriller","Ashwin Saravanan Nayanthara Haniya Nafisa Sathyaraj Horror, Thriller"
760,Driver Jamuna,Kinslin,Aishwarya Rajesh,Adukalam Naren,Thangapandiyan,"Action, Thriller","Kinslin Aishwarya Rajesh Adukalam Naren Thangapandiyan Action, Thriller"
761,Witness,Deepak Muthuvel,Shraddha Srinath,Rohini,Shanmugarajan,Drama,Deepak Muthuvel Shraddha Srinath Rohini Shanmugarajan Drama
762,Yenni Thuniga,S. K. Vettri Selvan,Jai Sampath,Athulya Ravi,Sunil Reddy,"Action, Thriller","S. K. Vettri Selvan Jai Sampath Athulya Ravi Sunil Reddy Action, Thriller"
763,Idiot,Rambhala,Shiva,Nikki Galrani,Anandaraj,"Horror, Comedy, Drama","Rambhala Shiva Nikki Galrani Anandaraj Horror, Comedy, Drama"
764,Achcham Madam Naanam Payirppu,Raja Ramamurthy,Akshara Haasan,Usha Uthup,Malgudi Subha,"Drama, Comedy","Raja Ramamurthy Akshara Haasan Usha Uthup Malgudi Subha Drama, Comedy"
765,Poochandi,J. K. Wicky,Ravishankar Ramamurthy,RJ Ramana,Tinesh Sarathi Krishnan,"Thriller, Horror","J. K. Wicky Ravishankar Ramamurthy RJ Ramana Tinesh Sarathi Krishnan Thriller, Horror"
766,Pothanur Thabal Nilayam,Praveen,Praveen,Anjali Rao,Venkat Sundar,"Thriller, Crime","Praveen Praveen Anjali Rao Venkat Sundar Thriller, Crime"
767,HEROIC,AAKASH,AVINASH,AAKASH,BHUVANESHWAR,"Action, Science Fiction","AAKASH AVINASH AAKASH BHUVANESHWAR Action, Science Fiction"
768,Kuthirai Vaal,Manoj Leonel Jahson,Kalaiyarasan,Anjali Patil,Chetan,"Drama, Mystery","Manoj Leonel Jahson Kalaiyarasan Anjali Patil Chetan Drama, Mystery"
769,Project C (Chapter 2),VNO,Sri,Vasudha Krishnamoorthy,Chaams,"Crime, Action","VNO Sri Vasudha Krishnamoorthy Chaams Crime, Action"
770,Bijli,Manasvini Boovarahan,Anjali Kumari Mishra,Madhavi Sharma,Reihana,Drama,Manasvini Boovarahan Anjali Kumari Mishra Madhavi Sharma Reihana Drama
771,Enna Solla Pogirai,A. Hariharan,Ashwin Kumar,Teju Ashwini,Avantika Mishra,"Romance, Drama","A. Hariharan Ashwin Kumar Teju Ashwini Avantika Mishra Romance, Drama"
772,Naai Sekar,Kishore Rajkumar,Sathish,Pavithra Lakshmi,Shiva,"Comedy, Fantasy","Kishore Rajkumar Sathish Pavithra Lakshmi Shiva Comedy, Fantasy"
773,Kathir,Dhinesh Palanivel,Venkatesh Appadurai,Rajini Chandy,Santhosh Prathap,Drama,Dhinesh Palanivel Venkatesh Appadurai Rajini Chandy Santhosh Prathap Drama
774,Kombu Vatcha Singamda,S. R. Prabhakaran,M. Sasikumar,Madonna Sebastian,Soori,"Drama, Action","S. R. Prabhakaran M. Sasikumar Madonna Sebastian Soori Drama, Action"
775,Thunikaram,Baalasudan,Vinoth Logidhasan,Bharani,Semmalar Annam,"Crime, Thriller","Baalasudan Vinoth Logidhasan Bharani Semmalar Annam Crime, Thriller"
776,Naan Mirugamaai Maara,Sathyasiva,M. Sasikumar,Hariprriya,Vikranth,"Crime, Action, Drama","Sathyasiva M. Sasikumar Hariprriya Vikranth Crime, Action, Drama"
777,Kuttram Kuttrame,Suseenthiran,Jai Sampath,Dhivya Dhuraisamy,Bharathiraja,"Action, Drama","Suseenthiran Jai Sampath Dhivya Dhuraisamy Bharathiraja Action, Drama"
778,Kambathe Kannemma,K.K. Khanna,Tokoh Sathia,Sasikumar,Sangeeta Krishnasamy,Comedy,K.K. Khanna Tokoh Sathia Sasikumar Sangeeta Krishnasamy Comedy
779,My Dear Bootham,N. Ragavan,Prabhu Deva,Remya Nambeesan,Ashwanth Ashokkumar,"Comedy, Fantasy, Family","N. Ragavan Prabhu Deva Remya Nambeesan Ashwanth Ashokkumar Comedy, Fantasy, Family"
780,Ward-126,Selvakumar Chellapandiyan,Michael Thangadurai,Jishnu Menon,Selvakumar Chellapandiyan,"Thriller, Crime","Selvakumar Chellapandiyan Michael Thangadurai Jishnu Menon Selvakumar Chellapandiyan Thriller, Crime"
781,Jiivi 2,V. J. Gopinath,Vetri,Karunakaran,Rohini,"Crime, Mystery, Thriller","V. J. Gopinath Vetri Karunakaran Rohini Crime, Mystery, Thriller"
782,Vaaitha,Mahivarman.CS,Nassar,Mu Ramaswamy,Powlen Jessica,"Drama, Crime","Mahivarman.CS Nassar Mu Ramaswamy Powlen Jessica Drama, Crime"
783,Carbon,R. Srinuvasan,Vidharth,Dhanya Balakrishna,G. Marimuthu,"Action, Thriller","R. Srinuvasan Vidharth Dhanya Balakrishna G. Marimuthu Action, Thriller"
784,Muthal Manithan,Rajarajadurai,Adukalam Naren,Kausalya,Karate Raja,Drama,Rajarajadurai Adukalam Naren Kausalya Karate Raja Drama
785,The Great Man,Seenu Ramasamy,Vijay Sethupathi,Gayathrie Shankar,Guru Somasundaram,Drama,Seenu Ramasamy Vijay Sethupathi Gayathrie Shankar Guru Somasundaram Drama
786,Veerapandiyapuram,Suseenthiran,Jai Sampath,Meenakshi Govindarajan,Aakanksha Singh,"Action, Drama","Suseenthiran Jai Sampath Meenakshi Govindarajan Aakanksha Singh Action, Drama"
787,Oru Nalla Tamizh Paatin Mudhal Vari,Shriviyas,Shriviyas,Selva Kumar,unknown,"Drama, Comedy","Shriviyas Shriviyas Selva Kumar unknown Drama, Comedy"
788,Jothi,AV. Krishna Paramatma,Vetri,Sheela Rajkumar,Krisha Kurup,"Crime, Thriller, Mystery","AV. Krishna Paramatma Vetri Sheela Rajkumar Krisha Kurup Crime, Thriller, Mystery"
